date,code,INDUSTRY_CODE,GROUP,weight,w,NEXT_RET
2010-01-29,000623.XSHE,801190,G1,0.005659999999999999,0.028700370163784794,-0.037306642402183836
2010-01-29,600837.XSHG,801190,G2,0.013600000000000001,0.06896202018153239,0.004514672686230181
2010-01-29,601601.XSHG,801190,G3,0.01352,0.06855636123928807,0.07471264367816087
2010-01-29,600246.XSHG,801180,G1,0.00091,0.004614370468029005,0.020092735703245657
2010-01-29,601588.XSHG,801180,G2,0.00161,0.0081638862126667,0.03658536585365857
2010-01-29,000069.XSHE,801180,G3,0.00462,0.023426803914608794,0.004048582995951343
2010-01-29,000401.XSHE,801060,G1,0.00229,0.011611987221743319,0.058779761904762085
2010-01-29,601808.XSHG,801060,G2,0.00172,0.008721667258252625,0.032684824902723834
2010-01-29,601390.XSHG,801060,G3,0.00571,0.02895390700268749,0.01348314606741563
2010-01-29,600601.XSHG,801100,G1,0.0017299999999999998,0.008772374626033162,0.02714932126696845
2010-01-29,600100.XSHG,801100,G2,0.00311,0.015769991379747477,0.04569606801275228
2010-01-29,000063.XSHE,801100,G3,0.00781,0.03960245423660058,0.06199021207177813
2010-01-29,000690.XSHE,801160,G1,0.0016300000000000002,0.008265300948227779,0.0982318271119842
2010-01-29,000685.XSHE,801160,G2,0.00107,0.005425688352517621,-0.04146100691016785
2010-01-29,600011.XSHG,801160,G3,0.00387,0.019623751331068407,0.0020661157024792765
2010-01-29,002028.XSHE,801070,G1,0.0013900000000000002,0.007048324121494854,0.08890469416785196
2010-01-29,000425.XSHE,801070,G2,0.00229,0.011611987221743319,0.11485148514851495
2010-01-29,002202.XSHE,801070,G3,0.00513,0.02601287967141626,0.058447488584475016
2010-01-29,000422.XSHE,801030,G1,0.0022,0.011155620911718473,0.02771855010660995
2010-01-29,600352.XSHG,801030,G2,0.00219,0.011104913543937936,0.024390243902439046
2010-01-29,600256.XSHG,801030,G3,0.00241,0.01222047563510978,0.17487684729064035
2010-01-29,600456.XSHG,801050,G1,0.00091,0.004614370468029005,0.024888003982080686
2010-01-29,600219.XSHG,801050,G2,0.00216,0.01095279144059632,0.03313253012048212
2010-01-29,601899.XSHG,801050,G3,0.00851,0.043151969981238276,0.026378896882494063
2010-01-29,000061.XSHE,801010,G1,0.0016200000000000001,0.00821459358044724,0.003807106598984866
2010-01-29,600737.XSHG,801010,G2,0.00148,0.0075046904315197,0.01877256317689535
2010-01-29,600598.XSHG,801010,G3,0.00193,0.009786521981643934,-0.032315978456014416
2010-01-29,600125.XSHG,801170,G1,0.00153,0.007758227270422392,0.0679094540612517
2010-01-29,600221.XSHG,801170,G2,0.0013800000000000002,0.006997616753714316,0.08895705521472386
2010-01-29,601111.XSHG,801170,G3,0.00311,0.015769991379747477,0.14159292035398252
2010-01-29,600839.XSHG,801110,G1,0.002,0.010141473556107703,0.06956521739130417
2010-01-29,000100.XSHE,801110,G2,0.00248,0.012575427209573551,0.04716981132075482
2010-01-29,000527.XSHE,801110,G3,0.0047799999999999995,0.024238121799097408,0.07615062761506275
2010-01-29,600153.XSHG,801200,G1,0.0017000000000000001,0.008620252522691548,0.12254901960784315
